Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-19T23:23:02,62031,2029,10337
Guangdong,Mainland China,2020-02-19T23:23:02,1331,5,606
Henan,Mainland China,2020-02-19T23:23:02,1262,19,573
Zhejiang,Mainland China,2020-02-19T23:23:03,1174,0,604
Hunan,Mainland China,2020-02-19T23:23:03,1008,4,561
Anhui,Mainland China,2020-02-19T23:23:03,986,6,413
Jiangxi,Mainland China,2020-02-19T23:23:04,934,1,362
Jiangsu,Mainland China,2020-02-19T23:23:04,631,0,318
Diamond Princess cruise ship,Others,2020-02-19T23:23:04,621,0,1
Chongqing,Mainland China,2020-02-19T23:23:05,560,5,274
Shandong,Mainland China,2020-02-19T23:23:05,544,3,231
Sichuan,Mainland China,2020-02-19T23:23:05,514,3,188
Heilongjiang,Mainland China,2020-02-19T23:23:06,470,12,120
Beijing,Mainland China,2020-02-19T23:23:06,393,4,145
Shanghai,Mainland China,2020-02-19T23:23:06,333,2,186
Hebei,Mainland China,2020-02-19T23:23:07,306,4,152
Fujian,Mainland China,2020-02-19T23:23:07,293,0,112
Guangxi,Mainland China,2020-02-19T23:23:07,244,2,86
Shaanxi,Mainland China,2020-02-19T23:23:08,242,0,102
Yunnan,Mainland China,2020-02-19T23:23:08,172,1,60
Hainan,Mainland China,2020-02-19T23:23:08,168,4,84
Guizhou,Mainland China,2020-02-19T23:23:09,146,2,70
Shanxi,Mainland China,2020-02-19T23:23:09,131,0,68
Tianjin,Mainland China,2020-02-19T23:23:09,130,3,54
Liaoning,Mainland China,2020-02-19T23:23:10,121,1,55
Gansu,Mainland China,2020-02-19T23:23:10,91,2,65
Jilin,Mainland China,2020-02-19T23:23:10,90,1,37
,Japan,2020-02-19T23:23:11,84,1,18
,Singapore,2020-02-19T23:23:11,84,0,34
Xinjiang,Mainland China,2020-02-19T23:23:11,76,1,20
Inner Mongolia,Mainland China,2020-02-19T23:23:12,75,0,10
Ningxia,Mainland China,2020-02-19T23:23:12,71,0,42
Hong Kong,Hong Kong,2020-02-19T23:23:12,63,2,5
,Thailand,2020-02-19T23:23:13,35,0,15
,South Korea,2020-02-19T23:23:13,31,0,12
Taiwan,Taiwan,2020-02-19T23:23:13,23,1,2
,Malaysia,2020-02-19T23:23:14,22,0,15
Qinghai,Mainland China,2020-02-19T23:23:14,18,0,16
,Germany,2020-02-19T23:23:14,16,0,12
,Vietnam,2020-02-19T23:23:15,16,0,7
,France,2020-02-19T23:23:15,12,1,4
Macau,Macau,2020-02-19T23:23:15,10,0,5
,UK,2020-02-19T23:23:16,9,0,8
,United Arab Emirates,2020-02-19T23:23:16,9,0,4
Queensland,Australia,2020-02-19T23:23:16,5,0,0
British Columbia,Canada,2020-02-19T23:23:17,5,0,0
New South Wales,Australia,2020-02-19T23:23:17,4,0,4
Victoria,Australia,2020-02-19T23:23:17,4,0,4
,India,2020-02-19T23:23:18,3,0,3
,Italy,2020-02-19T23:23:18,3,0,0
,Philippines,2020-02-19T23:23:18,3,1,1
South Australia,Australia,2020-02-19T23:23:19,2,0,2
"Toronto, ON",Canada,2020-02-19T23:23:19,2,0,0
,Iran,2020-02-19T23:23:19,2,2,0
,Russia,2020-02-19T23:23:20,2,0,2
,Spain,2020-02-19T23:23:20,2,0,2
"Chicago, IL",US,2020-02-19T23:23:20,2,0,2
"San Benito, CA",US,2020-02-19T23:23:21,2,0,0
"San Diego County, CA",US,2020-02-19T23:23:21,2,0,0
"Santa Clara, CA",US,2020-02-19T23:23:21,2,0,0
,Belgium,2020-02-19T23:23:22,1,0,1
,Cambodia,2020-02-19T23:23:22,1,0,1
"London, ON",Canada,2020-02-19T23:23:22,1,0,1
,Egypt,2020-02-19T23:23:23,1,0,0
,Finland,2020-02-19T23:23:23,1,0,1
Tibet,Mainland China,2020-02-19T23:23:23,1,0,1
,Nepal,2020-02-19T23:23:24,1,0,1
,Sri Lanka,2020-02-19T23:23:24,1,0,1
,Sweden,2020-02-19T23:23:24,1,0,0
"Boston, MA",US,2020-02-19T23:23:25,1,0,0
"Los Angeles, CA",US,2020-02-19T23:23:25,1,0,0
"Madison, WI",US,2020-02-19T23:23:25,1,0,0
"Orange, CA",US,2020-02-19T23:23:26,1,0,0
"San Antonio, TX",US,2020-02-19T23:23:26,1,0,0
"Seattle, WA",US,2020-02-19T23:23:26,1,0,1
"Tempe, AZ",US,2020-02-19T23:23:27,1,0,0
