Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-18T12:13:09,67800,3122,56927,30.9756,112.2707
,Italy,2020-03-18T12:13:09,35713,2978,4025,41.8719,12.5674
,Iran,2020-03-18T12:13:10,17361,1135,5389,32.4279,53.6880
,Spain,2020-03-18T12:13:10,13910,623,1081,40.4637,-3.7492
,Germany,2020-03-18T12:13:11,12327,28,105,51.1657,10.4515
France,France,2020-03-18T12:13:11,9043,148,12,46.2276,2.2137
,"Korea, South",2020-03-18T12:13:12,8413,84,1540,35.9078,127.7669
,Switzerland,2020-03-18T12:13:12,3028,28,15,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-18T12:13:13,2626,71,65,55.3781,-3.4360
New York,US,2020-03-18T12:13:13,2495,16,0,42.1657,-74.9481
Netherlands,Netherlands,2020-03-18T12:13:14,2051,58,2,52.1326,5.2913
,Austria,2020-03-18T12:13:14,1646,4,9,47.5162,14.5501
,Norway,2020-03-18T12:13:15,1550,6,1,60.4720,8.4689
,Belgium,2020-03-18T12:13:15,1486,14,31,50.5039,4.4699
Guangdong,China,2020-03-18T12:13:16,1370,8,1313,23.3417,113.4244
,Sweden,2020-03-18T12:13:16,1279,10,1,60.1282,18.6435
Henan,China,2020-03-18T12:13:17,1273,22,1250,33.8820,113.6140
Zhejiang,China,2020-03-18T12:13:17,1232,1,1216,29.1832,120.0934
Denmark,Denmark,2020-03-18T12:13:18,1057,4,1,56.2639,9.5018
Hunan,China,2020-03-18T12:13:18,1018,4,1014,27.6104,111.7088
Washington,US,2020-03-18T12:13:19,1014,55,0,47.4009,-121.4905
Anhui,China,2020-03-18T12:13:19,990,6,984,31.8257,117.2264
Jiangxi,China,2020-03-18T12:13:20,935,1,934,27.6140,115.7221
,Japan,2020-03-18T12:13:20,889,29,144,36.2048,138.2529
,Malaysia,2020-03-18T12:13:21,790,2,60,4.2105,101.9758
Shandong,China,2020-03-18T12:13:21,761,7,746,36.3427,118.1498
California,US,2020-03-18T12:13:22,751,13,0,36.1162,-119.6816
Diamond Princess,Cruise Ship,2020-03-18T12:13:22,712,7,325,35.4498,139.6649
Jiangsu,China,2020-03-18T12:13:23,631,0,631,32.9711,119.4550
Chongqing,China,2020-03-18T12:13:23,576,6,570,30.0572,107.8740
Sichuan,China,2020-03-18T12:13:24,540,3,525,30.6171,102.7103
Heilongjiang,China,2020-03-18T12:13:24,482,13,459,47.8620,127.7615
Beijing,China,2020-03-18T12:13:25,469,8,378,40.1824,116.4142
,Czechia,2020-03-18T12:13:25,464,0,3,49.8175,15.4730
,Qatar,2020-03-18T12:13:26,452,0,4,25.3548,51.1839
,Portugal,2020-03-18T12:13:26,448,2,3,39.3999,-8.2245
,Israel,2020-03-18T12:13:27,433,0,11,31.0461,34.8516
,Greece,2020-03-18T12:13:27,418,5,8,39.0742,21.8243
,Brazil,2020-03-18T12:13:28,372,3,2,-14.2350,-51.9253
Shanghai,China,2020-03-18T12:13:28,361,3,326,31.2020,121.4491
,Finland,2020-03-18T12:13:29,336,0,10,61.9241,25.7482
Hebei,China,2020-03-18T12:13:29,318,6,310,38.0428,114.5149
Florida,US,2020-03-18T12:13:30,314,7,0,27.7663,-81.6868
,Singapore,2020-03-18T12:13:30,313,0,114,1.3521,103.8198
,Pakistan,2020-03-18T12:13:31,299,0,2,30.3753,69.3451
Fujian,China,2020-03-18T12:13:31,296,1,295,26.0789,117.9874
,Ireland,2020-03-18T12:13:32,292,2,5,53.1424,-7.6921
,Slovenia,2020-03-18T12:13:32,275,1,0,46.1512,14.9955
New South Wales,Australia,2020-03-18T12:13:33,267,5,4,-33.8688,151.2093
New Jersey,US,2020-03-18T12:13:33,267,3,0,40.2989,-74.5210
,Romania,2020-03-18T12:13:34,260,0,19,45.9432,24.9668
,Estonia,2020-03-18T12:13:34,258,0,1,58.5953,25.0136
Louisiana,US,2020-03-18T12:13:35,257,4,0,31.1695,-91.8678
,Bahrain,2020-03-18T12:13:35,256,1,88,26.0667,50.5577
Guangxi,China,2020-03-18T12:13:36,253,2,250,23.8298,108.7881
